,,lower bounds,upper bounds
1,nitrogen,0,230.172
1,oxygen,0,312.761
1,ethylene,0,189.076
1,hydrogen chloride,0,344.425
1,vinyl chloride,0,63.572
1,chlorine,0,149.16
1,ethylene di-chloride,0,76.4765
1,water,0,216.99
2,nitrogen,0,230.172
2,oxygen,0,312.761
2,ethylene,0,189.076
2,hydrogen chloride,0,344.425
2,vinyl chloride,0,63.572
2,chlorine,0,149.16
2,ethylene di-chloride,0,76.4765
2,water,0,216.99
3,nitrogen,0,230.172
3,oxygen,0,312.761
3,ethylene,0,189.076
3,hydrogen chloride,0,344.425
3,vinyl chloride,0,63.572
3,chlorine,0,149.16
3,ethylene di-chloride,0,76.4765
3,water,0,216.99
4,nitrogen,0,230.172
4,oxygen,0,312.761
4,ethylene,0,189.076
4,hydrogen chloride,0,344.425
4,vinyl chloride,0,63.572
4,chlorine,0,149.16
4,ethylene di-chloride,0,76.4765
4,water,0,216.99
5,nitrogen,0,230.172
5,oxygen,0,312.761
5,ethylene,0,189.076
5,hydrogen chloride,0,344.425
5,vinyl chloride,0,63.572
5,chlorine,0,149.16
5,ethylene di-chloride,0,76.4765
5,water,0,216.99
6,nitrogen,0,230.172
6,oxygen,0,312.761
6,ethylene,0,189.076
6,hydrogen chloride,0,344.425
6,vinyl chloride,0,63.572
6,chlorine,0,149.16
6,ethylene di-chloride,0,76.4765
6,water,0,216.99
7,nitrogen,0,230.172
7,oxygen,0,312.761
7,ethylene,0,189.076
7,hydrogen chloride,0,344.425
7,vinyl chloride,0,63.572
7,chlorine,0,149.16
7,ethylene di-chloride,0,76.4765
7,water,0,216.99
8,nitrogen,0,230.172
8,oxygen,0,312.761
8,ethylene,0,189.076
8,hydrogen chloride,0,344.425
8,vinyl chloride,0,63.572
8,chlorine,0,149.16
8,ethylene di-chloride,0,76.4765
8,water,0,216.99
9,nitrogen,0,230.172
9,oxygen,0,312.761
9,ethylene,0,189.076
9,hydrogen chloride,0,344.425
9,vinyl chloride,0,63.572
9,chlorine,0,149.16
9,ethylene di-chloride,0,76.4765
9,water,0,216.99
10,nitrogen,0,230.172
10,oxygen,0,312.761
10,ethylene,0,189.076
10,hydrogen chloride,0,344.425
10,vinyl chloride,0,63.572
10,chlorine,0,149.16
10,ethylene di-chloride,0,76.4765
10,water,0,216.99
11,nitrogen,0,230.172
11,oxygen,0,312.761
11,ethylene,0,189.076
11,hydrogen chloride,0,344.425
11,vinyl chloride,0,63.572
11,chlorine,0,149.16
11,ethylene di-chloride,0,76.4765
11,water,0,216.99
12,nitrogen,0,230.172
12,oxygen,0,312.761
12,ethylene,0,189.076
12,hydrogen chloride,0,344.425
12,vinyl chloride,0,63.572
12,chlorine,0,149.16
12,ethylene di-chloride,0,76.4765
12,water,0,216.99
13,nitrogen,0,230.172
13,oxygen,0,312.761
13,ethylene,0,189.076
13,hydrogen chloride,0,344.425
13,vinyl chloride,0,63.572
13,chlorine,0,149.16
13,ethylene di-chloride,0,76.4765
13,water,0,216.99
14,nitrogen,0,230.172
14,oxygen,0,312.761
14,ethylene,0,189.076
14,hydrogen chloride,0,344.425
14,vinyl chloride,0,63.572
14,chlorine,0,149.16
14,ethylene di-chloride,0,76.4765
14,water,0,216.99
15,nitrogen,0,230.172
15,oxygen,0,312.761
15,ethylene,0,189.076
15,hydrogen chloride,0,344.425
15,vinyl chloride,0,63.572
15,chlorine,0,149.16
15,ethylene di-chloride,0,76.4765
15,water,0,216.99
16,nitrogen,0,230.172
