,stream_flowrate,presssure,temprature,,,component_stream_flowrate,,,vapor_pressure
1,17.8341,2,3,1,nitrogen,0,1,nitrogen,0
2,8.91704,1.5,3,1,oxygen,0,1,oxygen,0
3,0,0,0,1,ethylene,17.8341,1,ethylene,0
4,4.45852,1,3,1,hydrogen chloride,0,1,hydrogen chloride,0
5,8.91704,2,3,1,vinyl chloride,0,1,vinyl chloride,0
6,8.91704,4.84493,5.03271,1,chlorine,0,1,chlorine,0
7,8.91704,2,3.23,1,ethylene di-chloride,0,1,ethylene di-chloride,0
8,17.8341,2,3.23,1,water,0,1,water,0
9,8.91704,2,10,2,nitrogen,0,2,nitrogen,0
10,8.91704,2,3,2,oxygen,0,2,oxygen,0
11,4.45852,1,3,2,ethylene,0,2,ethylene,0
12,4.45852,1,3,2,hydrogen chloride,0,2,hydrogen chloride,0
13,0,0,0,2,vinyl chloride,0,2,vinyl chloride,0
14,4.45852,4.84493,4.31782,2,chlorine,8.91704,2,chlorine,0
15,0,0,0,2,ethylene di-chloride,0,2,ethylene di-chloride,0
16,0,0,0,2,water,0,2,water,0
17,0,0,0,3,nitrogen,0,3,nitrogen,0
18,4.45852,4.84493,4.31782,3,oxygen,0,3,oxygen,0
19,4.45852,4.84493,4.93,3,ethylene,0,3,ethylene,0
20,8.91704,4.84493,5.03271,3,hydrogen chloride,0,3,hydrogen chloride,0
21,8.91704,4.84493,4.93,3,vinyl chloride,0,3,vinyl chloride,0
22,31.2096,4.84493,4.93,3,chlorine,0,3,chlorine,0
23,9.91704,4.84493,7.8765,3,ethylene di-chloride,0,3,ethylene di-chloride,0
24,9.91704,4.84493,5.29032,3,water,0,3,water,0
25,0,4.84493,5.29032,4,nitrogen,0,4,nitrogen,0
26,9.91704,4.84493,5.29032,4,oxygen,4.45852,4,oxygen,0
27,0,4.84493,5.29032,4,ethylene,0,4,ethylene,0
28,0,0,0,4,hydrogen chloride,0,4,hydrogen chloride,0
29,0,4.84493,5.29032,4,vinyl chloride,0,4,vinyl chloride,0
30,8.91704,1,3,4,chlorine,0,4,chlorine,0
31,1,1,4.52963,4,ethylene di-chloride,0,4,ethylene di-chloride,0
32,17.8341,2,3,4,water,0,4,water,0
33,0,0,0,5,nitrogen,0,5,nitrogen,0
34,17.8341,2,3,5,oxygen,0,5,oxygen,0
35,0,0,0,5,ethylene,8.91704,5,ethylene,0
36,17.8341,15,4.77594,5,hydrogen chloride,0,5,hydrogen chloride,0
37,17.8341,15,3,5,vinyl chloride,0,5,vinyl chloride,0
38,17.8341,25,3.37534,5,chlorine,0,5,chlorine,0
39,17.8341,25,3.37534,5,ethylene di-chloride,0,5,ethylene di-chloride,0
40,31.7558,25,7.8,5,water,0,5,water,0
41,0,0,0,6,nitrogen,0,6,nitrogen,0
42,31.7558,25,7.8,6,oxygen,0,6,oxygen,0
43,0,0,0,6,ethylene,8.91704,6,ethylene,0
44,49.5899,25,7.8,6,hydrogen chloride,0,6,hydrogen chloride,0
45,49.5899,25,7.8,6,vinyl chloride,0,6,vinyl chloride,0
46,49.5899,25,7.8,6,chlorine,0,6,chlorine,0
47,49.5899,25,7.8,6,ethylene di-chloride,0,6,ethylene di-chloride,0
48,49.5899,25,7.8,6,water,0,6,water,0
49,0,0,0,7,nitrogen,0,7,nitrogen,0
